"time","new.core.id","depth_bottom","sample.type","interval","pool_label","id","species","d15n","n_pct","d13c","c_pct","total_volume_cm3","depth_top","sample.type2","g_core"
"t4","DS01",10,"rhizomes","5_10","rhizomes 10cm","DS01-rhizomes 10cm","DS",130.9486257,0.008274572,-15.03856165,0.302834643,392.699,5,"rhizomes",1.494
"t4","DS01",15,"coarse roots","10_15","coarse roots 15cm","DS01-coarse roots 15cm","DS",250.3405297,0.010786199,-14.93833749,0.284051769,392.699,10,"coarse roots",0.136
"t0","DS13",15,"dead biomass","10_15","dead biomass 15cm","DS13-dead biomass 15cm","DS",5.213600447,0.01186,-13.79591568,0.351215876,392.699,10,"dead biomass",11.06
"t4","DS01",15,"dead biomass","10_15","dead biomass 15cm","DS01-dead biomass 15cm","DS",18.74598294,0.008576439,-13.20506039,0.378449491,392.699,10,"dead biomass",17.828
"t0","DS13",15,"fine roots","10_15","fine roots 15cm","DS13-fine roots 15cm","DS",5.116089905,0.00769,-13.2198979,0.381650567,392.699,10,"fine roots",0.1942
"t4","DS01",15,"fine roots","10_15","fine roots 15cm","DS01-fine roots 15cm","DS",813.2696362,0.009377984,-14.30153643,0.322715459,392.699,10,"fine roots",0.134
"t0","DS13",15,"rhizomes","10_15","rhizomes 15cm","DS13-rhizomes 15cm","DS",5.892343013,0.01129,-14.73875601,0.333150496,392.699,10,"rhizomes",0.0434
"t4","DS01",15,"rhizomes","10_15","rhizomes 15cm","DS01-rhizomes 15cm","DS",12.54923954,0.005925859,-13.810784,0.337667662,392.699,10,"rhizomes",0.166
"t0","DS13",20,"coarse roots","15_20","coarse roots 20cm","DS13-coarse roots 20cm","DS",3.903908316,0.00857,-13.44557901,0.364167893,392.699,15,"coarse roots",0.0916
"t4","DS01",20,"coarse roots","15_20","coarse roots 20cm","DS01-coarse roots 20cm","DS",590.8653059,0.009962217,-14.08755176,0.261996436,392.699,15,"coarse roots",0.064
"t0","DS13",20,"dead biomass","15_20","dead biomass 20cm","DS13-dead biomass 20cm","DS",3.842069147,0.01468,-13.31790535,0.414949359,392.699,15,"dead biomass",11.058
"t4","DS01",20,"dead biomass","15_20","dead biomass 20cm","DS01-dead biomass 20cm","DS",9.89115469,0.00829973,-13.05074591,0.385392847,392.699,15,"dead biomass",18.638
"t0","DS13",20,"fine roots","15_20","fine roots 20cm","DS13-fine roots 20cm","DS",4.252291922,0.00928,-13.22448105,0.408914464,392.699,15,"fine roots",0.116
"t4","DS01",20,"fine roots","15_20","fine roots 20cm","DS01-fine roots 20cm","DS",1014.554892,0.007550566,-13.33386919,0.326744459,392.699,15,"fine roots",0.096
"t0","DS13",20,"rhizomes","15_20","rhizomes 20cm","DS13-rhizomes 20cm","DS",3.736565246,0.01027,-13.81319925,0.380550924,392.699,15,"rhizomes",0.0614
"t4","DS01",20,"rhizomes","15_20","rhizomes 20cm","DS01-rhizomes 20cm","DS",7.959826946,0.006396325,-13.70724612,0.336644541,392.699,15,"rhizomes",0.304
"t0","DS13",30,"coarse roots","20_30","coarse roots 30cm","DS13-coarse roots 30cm","DS",2.882872926,0.00974,-12.83136694,0.404907293,785.398,20,"coarse roots",0.0436
"t4","DS01",30,"coarse roots","20_30","coarse roots 30cm","DS01-coarse roots 30cm","DS",1148.140966,0.008872673,-14.2542948,0.267604266,785.398,20,"coarse roots",0.148
"t0","DS13",30,"dead biomass","20_30","dead biomass 30cm","DS13-dead biomass 30cm","DS",2.401593377,0.01174,-13.43356945,0.349251912,785.398,20,"dead biomass",37.734
"t4","DS01",30,"dead biomass","20_30","dead biomass 30cm","DS01-dead biomass 30cm","DS",4.975449036,0.01003634,-12.7676518,0.36860442,785.398,20,"dead biomass",28.41
"t0","DS13",30,"fine roots","20_30","fine roots 30cm","DS13-fine roots 30cm","DS",2.730381435,0.0073,-12.40348671,0.37099791,785.398,20,"fine roots",0.099
"t4","DS01",30,"fine roots","20_30","fine roots 30cm","DS01-fine roots 30cm","DS",475.7334335,0.006997736,-13.37093581,0.333270589,785.398,20,"fine roots",0.058
"t0","DS13",30,"rhizomes","20_30","rhizomes 30cm","DS13-rhizomes 30cm","DS",NA,NA,NA,NA,785.398,20,"rhizomes",0.0672
"t2","DS02",NA,"dead leaf","above","dead leaf","DS02-dead leaf","DS",242.4039042,0.016475579,-15.23427122,0.350374263,NA,NA,"dead leaf",0.0364
"t2","DS02",NA,"decomp layer","above","decomp layer","DS02-decomp layer","DS",380.3450118,0.01118054,-16.08780124,0.277419912,NA,NA,"decomp layer",0.2258
"t2","DS02",NA,"leaf 1","above","leaf 1","DS02-leaf 1","DS",4017.905656,0.021938929,-15.39690379,0.3918918,NA,NA,"leaf",0.0404
"t2","DS02",NA,"leaf 2","above","leaf 2","DS02-leaf 2","DS",3864.2436,0.022594557,-15.87322717,0.361282756,NA,NA,"leaf",0.0989
"t2","DS02",NA,"leaf 3","above","leaf 3","DS02-leaf 3","DS",3043.946982,0.021839734,-16.10306277,0.394472894,NA,NA,"leaf",0.1357
"t2","DS02",NA,"leaf 4","above","leaf 4","DS02-leaf 4","DS",2667.146706,0.022476642,-16.1960217,0.371724571,NA,NA,"leaf",0.1488
"t2","DS02",NA,"leaf 6","above","leaf 6","DS02-leaf 6","DS",2165.165229,0.023301983,-16.26239522,0.338066676,NA,NA,"leaf",0.1136
"t2","DS02",NA,"leaf 7","above","leaf 7","DS02-leaf 7","DS",2129.490562,0.023364239,-16.21269082,0.344470084,NA,NA,"leaf",0.0716
"t2","DS02",NA,"leaf 8","above","leaf 8","DS02-leaf 8","DS",1639.018271,0.021029331,-15.97785765,0.357677209,NA,NA,"leaf",0.0371
"t2","DS02",NA,"leaf 9","above","leaf 9","DS02-leaf 9","DS",1378.909277,0.023021713,-16.71996233,0.340061033,NA,NA,"leaf",0.0127
